,test_y,test_y_predict
0,2,2
1,2,2
2,3,2
3,3,2
4,1,2
5,3,2
6,3,2
7,2,2
8,3,2
9,3,2
10,3,2
11,2,2
12,2,2
13,2,2
14,3,2
15,2,2
16,2,2
17,3,2
18,2,2
19,2,2
20,3,2
21,2,2
22,2,2
23,3,2
24,2,2
25,3,2
26,3,2
27,3,2
28,3,2
29,2,2
30,2,2
31,2,2
32,3,2
33,3,2
34,2,2
35,3,2
36,2,2
37,2,2
38,3,2
39,2,2
40,2,2
41,2,2
42,3,2
43,3,2
44,2,2
45,2,2
46,3,2
47,2,2
48,3,2
49,3,2
50,2,2
51,3,2
52,3,2
53,2,2
54,3,2
55,2,2
56,3,2
57,2,2
58,3,2
59,3,2
60,1,2
61,3,2
62,3,2
63,2,2
64,3,2
65,3,2
66,2,2
67,3,2
68,3,2
69,2,2
70,3,2
71,2,2
72,2,2
73,2,2
74,2,2
75,3,2
76,1,2
77,3,2
78,3,2
79,1,2
80,3,2
81,2,2
82,2,2
83,3,2
84,3,2
85,3,2
86,2,2
87,3,2
88,3,2
89,2,2
90,2,2
91,2,2
92,2,2
93,3,2
94,3,2
95,2,2
96,3,2
97,3,2
98,2,2
99,3,2
100,3,2
101,2,2
102,2,2
103,3,2
104,2,2
105,3,2
106,3,2
107,2,2
108,3,2
109,1,2
110,2,2
111,2,2
112,3,2
113,1,2
114,3,2
115,3,2
116,3,2
117,3,2
118,3,2
119,3,2
120,3,2
121,3,2
122,1,2
123,3,2
124,3,2
125,2,2
126,3,2
127,3,2
128,1,2
129,3,2
130,2,2
131,1,2
132,3,2
133,2,2
134,1,2
135,3,2
136,2,2
137,3,2
138,2,2
139,3,2
140,2,2
141,2,2
142,3,2
143,3,2
144,2,2
145,2,2
146,3,2
147,2,2
148,3,2
149,2,2
150,3,2
151,3,2
152,3,2
153,3,2
154,3,2
155,2,2
156,3,2
157,2,2
158,3,2
159,2,2
160,3,2
161,3,2
162,2,2
163,2,2
164,2,2
165,3,2
166,3,2
167,3,2
168,2,2
169,3,2
170,2,2
171,3,2
172,3,2
173,2,2
174,3,2
175,3,2
176,3,2
177,2,2
178,2,2
179,3,2
180,2,2
181,3,2
182,2,2
183,3,2
184,2,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,2
190,3,2
191,1,2
192,1,2
193,2,2
194,2,2
195,2,2
196,2,2
197,3,2
198,3,2
199,2,2
200,2,2
201,3,2
202,2,2
203,3,2
204,2,2
205,2,2
206,2,2
207,3,2
208,3,2
209,3,2
210,3,2
211,3,2
212,3,2
213,3,2
214,3,2
215,3,2
216,3,2
217,2,2
218,2,2
219,3,2
220,3,2
221,2,2
222,3,2
223,3,2
224,3,2
225,2,2
226,2,2
227,3,2
228,3,2
229,2,2
230,2,2
231,2,2
232,1,2
233,2,2
234,1,2
235,1,2
236,2,2
237,2,2
238,2,2
239,2,2
240,3,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,3,2
249,3,2
250,3,2
251,3,2
252,3,2
253,3,2
254,2,2
255,2,2
256,2,2
257,3,2
258,3,2
259,2,2
260,3,2
261,3,2
262,3,2
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,2,2
269,2,2
270,3,2
271,3,2
272,3,2
273,3,2
274,3,2
275,1,2
276,3,2
277,2,2
278,3,2
279,2,2
280,3,2
281,3,2
282,3,2
283,3,2
284,3,2
285,2,2
286,3,2
287,3,2
288,3,2
289,2,2
290,3,2
291,2,2
292,3,2
293,3,2
294,3,2
295,3,2
296,3,2
297,3,2
298,3,2
299,3,2
300,2,2
301,2,2
302,2,2
303,1,2
304,3,2
305,3,2
306,3,2
307,2,2
308,2,2
309,1,2
310,3,2
